ID_Number,ID,Site_Name,Special,Longitiude_E,Latitude_N,Altitude_MASL,Era,Culture,Date_Start,Date_End,NonGrave_Structure,Grave_Type,Number_Chullpa,Number_Cave,Number_Subterranean,Number_Platform,Burials_NUM,Burials,Ceramic_NUM,Ceramic,Ceramic_Type,Ceramic_Type_Num,Metal_Num,Metal,MNI,Adult_Male,Adult_Female,Adule_Indeterminate,Total_Adult,Total_Subadult,Total_Infant
47,Ibarra_17,78,Chullin,259870,8966010,3320,Int Tardio,Post_Recuay,1000,1470,NONE,Sepulcher ,,,,,1,Yes,1,Yes,<NULL>,1,0,No,,,,,,,
48,Ibarra_18,80,Mashuanco,262240,8963390,3280,Int Temprano,Recuay,0,700,NONE,Cave,,,,,1,Yes,1,Yes,<NULL>,1,0,No,,,,,,,
49,Ibarra_19,84,Yacya,262020,8961930,3370,IT/IT,Recuay_Various,0,1470,Wall,NONE,,,,,0,No,1,Yes,<NULL>,1,0,No,,,,,,,
50,Ibarra_20,105,Chullin 2,260230,8965880,3461,Int Temprano,Recuay,0,700,Platform,NONE,,,,,0,No,1,Yes,Kaolin,2,0,No,,,,,,,
51,Ibarra_21,106,Reparin,263680,8971140,3590,HT/IT,Recuay,-200,700,Mound,NONE,,,,,0,No,1,Yes,<NULL>,1,0,No,,,,,,,
52,Ibarra_22,107,Pirushto,262741,8971112,3351,HT/IT,Recuay,-200,700,Mound,NONE,,,,,0,No,1,Yes,<NULL>,1,0,No,,,,,,,
53,Ibarra_23,108,Ushnujirca,261330,8977650,3781,Int Temprano,Recuay,0,700,Wall,Subteranean,,,18,,1,Yes,1,Yes,<NULL>,1,0,No,,,,,,,
54,Ibarra_24,109,Huamparan,261463,8976604,3681,Int Temprano,Recuay,0,700,Corral,NONE,,,,,0,No,0,No,NONE,0,0,No,,,,,,,
55,Ibarra_25,110,Ogupampa,261726,8975015,3540,Int Temprano,Recuay,0,700,Mound,Mound,,,,,1,Yes,0,No,NONE,0,0,No,10,,,,,,
56,Ibarra_26,111,Chuncayajirca 2,261560,8975450,3574,HT/IT,Recuay,-200,700,Platform,NONE,,,,,0,No,1,Yes,<NULL>,1,0,No,,,,,,,
57,Ibarra_27,112,Chuncayajirca 1,260985,8978674,3381,HT/IT,Recuay,-200,700,Platform,NONE,,,,,0,No,1,Yes,<NULL>,1,0,No,,,,,,,
58,Ibarra_28,113,Llamacorral,257905,8969959,3532,HT/IT,Recuay,-200,700,Walls,NONE,,,,,0,No,0,No,NONE,0,0,No,,,,,,,
59,Ibarra_29,114,Ishla Ranra,257905,8969959,3532,HT/IT,Recuay,-200,700,Residential,Tombas,5,,,,1,Yes,1,Yes,<NULL>,1,0,No,5,,,,,,
60,Ibarra_30,115,Buenos Aires,261763,8964612,3354,Int Temprano,Recuay,0,700,Platform,NONE,,,,,0,No,1,Yes,<NULL>,1,0,No,,,,,,,
61,Ibarra_31,116,Ushcugaga,264414,8969995,3653,HT,Pre_Recuay,-1200,0,Corral,Tombas,,,,,1,Yes,1,Yes,<NULL>,1,0,No,,,,,,,
62,Ibarra_32,117,Pirushto de Cajay 2,264167,8969730,3615,HT/IT,Recuay,-200,700,Platform & Huanca,,,,,,0,No,1,Yes,<NULL>,1,0,No,,,,,,,
63,Ibarra_33,118,Ushnu de Cajay,262596,8977609,3575,HT/IT,Recuay,600,1200,Residential,Chullpa & Subterranean,3,,,,1,Yes,1,Yes,<NULL>,1,0,No,,,,,,,
64,Ibarra_34,123,Quenguajirca,277204,8950088,3975,Inka,Post_Recuay,1470,1572,Mound,NONE,,,,,0,No,0,No,NONE,0,0,No,,,,,,,
65,Ibarra_35,124,Taulli,275111,8950570,4094,Inka,Post_Recuay,1470,1572,Agricultural,NONE,,,,,0,No,0,No,NONE,0,0,No,,,,,,,
66,Ibarra_36,125,Ahuac Punta,276395,8950794,3857,Inka,Post_Recuay,1470,1572,Mound,NONE,,,,,0,No,0,No,NONE,0,0,No,,,,,,,
